city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_type,last_new_job,training_hours,target
0.878,Unknown,No relevant experience,No enrollment,Masters,STEM,21,Unknown,1,150,0.0
0.92,Female,Has relevant experience,No enrollment,Graduate,STEM,11,NGO,5,20,0.0
0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,5,Unknown,1,140,0.0
0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,12,Pvt Ltd,1,52,0.0
0.939,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,2,160,0.0
0.897,Male,Has relevant experience,No enrollment,Masters,STEM,9,Pvt Ltd,2,3,0.0
0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,2,Pvt Ltd,2,2,1.0
0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,5,28,0.0
0.754,Male,Has relevant experience,No enrollment,Graduate,Other,21,Unknown,4,46,0.0
0.855,Male,Has relevant experience,No enrollment,Graduate,STEM,8,Pvt Ltd,1,210,0.0
0.926,Male,Has relevant experience,No enrollment,Graduate,STEM,10,Pvt Ltd,1,36,0.0
0.949,Male,No relevant experience,Full time course,Graduate,STEM,4,Unknown,1,160,1.0
0.624,Male,Has relevant experience,Full time course,Graduate,STEM,2,NGO,2,101,0.0
0.926,Male,Has relevant experience,No enrollment,Masters,STEM,6,Unknown,1,46,0.0
0.925,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,5,19,0.0
0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,3,Pvt Ltd,2,26,1.0
0.698,Unknown,Has relevant experience,Full time course,Graduate,STEM,7,NGO,1,90,0.0
0.8959999999999999,Male,Has relevant experience,No enrollment,Graduate,STEM,9,Pvt Ltd,4,59,0.0
0.92,Male,Has relevant experience,Part time course,Graduate,Business Degree,10,Funded Startup,1,260,0.0
0.624,Female,Has relevant experience,No enrollment,Graduate,STEM,11,Pvt Ltd,5,74,0.0
0.91,Male,Has relevant experience,No enrollment,Phd,STEM,21,Pvt Ltd,2,20,1.0
0.878,Male,Has relevant experience,No enrollment,Graduate,STEM,12,Pvt Ltd,2,8,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,6,Pvt Ltd,1,131,0.0
0.836,Male,Has relevant experience,Full time course,Masters,STEM,7,Unknown,1,45,0.0
0.693,Male,Has relevant experience,Full time course,Graduate,STEM,11,Pvt Ltd,2,109,0.0
0.855,Male,Has relevant experience,No enrollment,Graduate,Humanities,3,Pvt Ltd,1,70,0.0
0.92,Female,Has relevant experience,No enrollment,Graduate,STEM,21,NGO,5,17,0.0
0.92,Female,No relevant experience,No enrollment,Masters,STEM,15,Pvt Ltd,1,51,0.0
0.92,Female,Has relevant experience,No enrollment,Graduate,STEM,6,Pvt Ltd,3,60,1.0
0.893,Unknown,No relevant experience,No enrollment,Phd,STEM,21,Public Sector,5,4,0.0
0.926,Male,No relevant experience,No enrollment,Graduate,STEM,12,Pvt Ltd,5,7,0.0
0.804,Unknown,Has relevant experience,No enrollment,Masters,STEM,21,Pvt Ltd,3,164,0.0
0.6659999999999999,Male,Has relevant experience,No enrollment,Graduate,STEM,20,Unknown,4,290,0.0
0.804,Male,No relevant experience,No enrollment,High School,Other,2,NGO,0,145,0.0
0.92,Unknown,No relevant experience,No enrollment,Phd,STEM,21,Unknown,1,70,0.0
0.624,Male,No relevant experience,No enrollment,Graduate,Other,3,Unknown,1,24,0.0
0.92,Male,No relevant experience,No enrollment,Masters,Humanities,3,Pvt Ltd,1,133,1.0
0.55,Unknown,No relevant experience,Full time course,Graduate,STEM,2,Unknown,1,20,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,10,Funded Startup,1,76,0.0
0.698,Female,No relevant experience,Full time course,Masters,STEM,5,Unknown,4,21,1.0
0.624,Female,Has relevant experience,No enrollment,Graduate,Other,8,Pvt Ltd,2,34,0.0
0.92,Male,No relevant experience,No enrollment,Graduate,STEM,9,Pvt Ltd,2,15,0.0
0.866,Male,No relevant experience,No enrollment,Graduate,STEM,21,Unknown,5,156,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,5,15,0.0
0.926,Unknown,Has relevant experience,No enrollment,Masters,STEM,21,Unknown,0,120,0.0
0.769,Unknown,Has relevant experience,No enrollment,Graduate,No Major,14,Unknown,5,47,0.0
0.754,Male,Has relevant experience,No enrollment,Graduate,STEM,12,Unknown,2,100,1.0
0.855,Male,Has relevant experience,Part time course,Graduate,STEM,6,Pvt Ltd,0,102,0.0
0.92,Male,No relevant experience,No enrollment,High School,Other,4,Unknown,0,52,0.0
0.926,Unknown,Has relevant experience,No enrollment,High School,Other,9,Unknown,4,39,0.0
0.92,Male,Has relevant experience,Full time course,High School,Other,4,Unknown,1,112,1.0
0.92,Male,No relevant experience,No enrollment,Phd,STEM,21,Pvt Ltd,5,14,0.0
0.91,Unknown,Has relevant experience,No enrollment,Graduate,Other,11,Unknown,1,4,0.0
0.91,Unknown,Has relevant experience,No enrollment,Masters,Arts,21,NGO,5,55,0.0
0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,6,Pvt Ltd,4,49,1.0
0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,15,Unknown,5,72,0.0
0.925,Male,Has relevant experience,Full time course,Graduate,STEM,14,Pvt Ltd,3,141,1.0
0.926,Male,No relevant experience,No enrollment,High School,Other,6,Pvt Ltd,0,28,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,13,Pvt Ltd,1,6,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,No Major,17,Pvt Ltd,1,125,0.0
0.939,Unknown,Has relevant experience,No enrollment,Graduate,STEM,21,Unknown,0,326,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,Other,21,Pvt Ltd,2,33,0.0
0.804,Unknown,No relevant experience,No enrollment,Masters,STEM,6,Pvt Ltd,5,40,0.0
0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,18,Unknown,1,198,1.0
0.92,Female,Has relevant experience,No enrollment,Masters,STEM,15,Pvt Ltd,5,55,0.0
0.698,Male,No relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,5,32,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,Arts,21,Pvt Ltd,5,11,0.0
0.754,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,1,41,0.0
0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,Public Sector,5,87,1.0
0.855,Male,Has relevant experience,No enrollment,Masters,STEM,10,Pvt Ltd,4,114,0.0
0.698,Unknown,Has relevant experience,No enrollment,Graduate,Other,21,Unknown,5,33,0.0
0.698,Male,Has relevant experience,Part time course,Masters,STEM,5,Early Stage Startup,1,15,0.0
0.91,Unknown,No relevant experience,Full time course,High School,Other,3,Unknown,1,8,0.0
0.878,Female,Has relevant experience,Part time course,High School,Other,2,NGO,1,22,0.0
0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,Pvt Ltd,4,13,0.0
0.949,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Public Sector,1,246,0.0
0.92,Male,Has relevant experience,No enrollment,Masters,STEM,9,Pvt Ltd,1,22,0.0
0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,Funded Startup,1,81,0.0
0.7759999999999999,Unknown,Has relevant experience,Full time course,Graduate,STEM,4,Funded Startup,1,11,0.0
0.698,Male,No relevant experience,Full time course,Graduate,STEM,5,Unknown,1,24,1.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Funded Startup,1,50,0.0
0.924,Male,No relevant experience,Full time course,High School,Other,6,Unknown,0,15,0.0
0.939,Male,Has relevant experience,No enrollment,Masters,STEM,21,Pvt Ltd,5,31,0.0
0.926,Male,Has relevant experience,No enrollment,Masters,STEM,21,Pvt Ltd,0,84,0.0
0.897,Male,Has relevant experience,Part time course,Graduate,STEM,4,Pvt Ltd,1,42,0.0
0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,10,Pvt Ltd,5,105,1.0
0.92,Female,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,5,72,0.0
0.789,Male,Has relevant experience,No enrollment,Graduate,STEM,14,Pvt Ltd,5,42,1.0
0.698,Male,Has relevant experience,No enrollment,Graduate,STEM,15,Early Stage Startup,1,152,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,12,Pvt Ltd,1,60,0.0
0.624,Male,No relevant experience,Full time course,Masters,STEM,2,Unknown,0,8,0.0
0.91,Male,No relevant experience,Full time course,Masters,STEM,13,Unknown,3,17,1.0
0.923,Male,No relevant experience,No enrollment,High School,Other,1,Unknown,1,33,0.0
0.91,Male,Has relevant experience,No enrollment,Masters,STEM,4,Funded Startup,0,38,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,Humanities,14,Early Stage Startup,2,178,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,15,Pvt Ltd,1,11,0.0
0.893,Male,Has relevant experience,No enrollment,High School,Other,21,Unknown,0,87,0.0
0.802,Male,Has relevant experience,No enrollment,Graduate,STEM,13,Unknown,0,84,0.0
0.884,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Early Stage Startup,2,32,0.0
0.887,Unknown,Has relevant experience,No enrollment,Masters,STEM,9,Pvt Ltd,1,31,1.0
0.624,Male,No relevant experience,No enrollment,Graduate,STEM,2,Public Sector,1,39,0.0
0.775,Unknown,Has relevant experience,No enrollment,Graduate,STEM,7,Pvt Ltd,1,12,0.0
0.624,Unknown,Has relevant experience,Full time course,Graduate,STEM,5,Pvt Ltd,1,50,0.0
0.903,Male,Has relevant experience,No enrollment,Graduate,STEM,3,Pvt Ltd,1,55,1.0
0.55,Unknown,Has relevant experience,No enrollment,Graduate,STEM,5,Pvt Ltd,1,7,1.0
0.92,Male,Has relevant experience,No enrollment,Masters,Humanities,2,Early Stage Startup,1,104,0.0
0.92,Unknown,Has relevant experience,Full time course,Graduate,Business Degree,21,Unknown,5,90,1.0
0.92,Male,Has relevant experience,No enrollment,Masters,Other,21,Pvt Ltd,5,8,0.0
0.624,Male,No relevant experience,Full time course,Graduate,STEM,2,Unknown,0,102,0.0
0.624,Unknown,Has relevant experience,No enrollment,Masters,STEM,0,Pvt Ltd,1,202,1.0
0.555,Unknown,Has relevant experience,No enrollment,Graduate,STEM,4,Pvt Ltd,1,22,0.0
0.624,Male,No relevant experience,Full time course,Graduate,STEM,3,Pvt Ltd,0,42,0.0
0.92,Unknown,No relevant experience,No enrollment,Primary School,Other,4,Pvt Ltd,0,50,0.0
0.624,Male,Has relevant experience,No enrollment,Masters,STEM,3,Funded Startup,1,88,0.0
0.754,Unknown,Has relevant experience,No enrollment,Graduate,STEM,5,Pvt Ltd,4,81,0.0
0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,Pvt Ltd,1,7,0.0
0.624,Male,No relevant experience,No enrollment,Graduate,Other,3,Pvt Ltd,0,218,0.0
0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,5,62,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,6,Pvt Ltd,1,83,0.0
0.939,Male,Has relevant experience,No enrollment,Graduate,STEM,9,Pvt Ltd,5,11,0.0
0.926,Male,No relevant experience,Part time course,Phd,STEM,21,Unknown,5,10,0.0
0.939,Male,Has relevant experience,No enrollment,Masters,STEM,10,Pvt Ltd,1,114,0.0
0.624,Unknown,Has relevant experience,No enrollment,Masters,STEM,3,Pvt Ltd,1,36,0.0
0.804,Unknown,No relevant experience,No enrollment,Masters,STEM,6,Pvt Ltd,1,17,0.0
0.91,Male,No relevant experience,Full time course,Graduate,STEM,2,Unknown,0,80,1.0
0.92,Male,Has relevant experience,Part time course,Graduate,STEM,21,Public Sector,5,108,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,2,Pvt Ltd,2,45,0.0
0.92,Male,No relevant experience,Full time course,Graduate,STEM,5,Unknown,0,77,0.0
0.926,Male,Has relevant experience,No enrollment,Masters,STEM,15,Pvt Ltd,2,8,0.0
0.878,Unknown,No relevant experience,No enrollment,Graduate,STEM,5,Unknown,1,28,0.0
0.727,Female,Has relevant experience,No enrollment,Graduate,STEM,9,Funded Startup,5,37,0.0
0.91,Unknown,No relevant experience,Full time course,Graduate,STEM,2,Unknown,2,108,1.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,13,Pvt Ltd,2,162,0.0
0.754,Unknown,Has relevant experience,Full time course,High School,Other,9,Unknown,5,41,0.0
0.903,Male,Has relevant experience,No enrollment,Masters,STEM,19,Pvt Ltd,4,4,0.0
0.884,Female,No relevant experience,No enrollment,Phd,STEM,3,Public Sector,1,41,0.0
0.903,Unknown,Has relevant experience,No enrollment,Graduate,STEM,17,Pvt Ltd,2,12,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,1,190,0.0
0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,7,Pvt Ltd,5,29,1.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,6,Public Sector,1,11,0.0
0.92,Male,No relevant experience,Full time course,High School,Other,3,Pvt Ltd,1,30,0.0
0.92,Male,Has relevant experience,No enrollment,Masters,STEM,13,Unknown,5,39,0.0
0.804,Male,Has relevant experience,Full time course,High School,Other,9,Unknown,1,16,0.0
0.926,Male,No relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,5,5,0.0
0.698,Male,No relevant experience,Full time course,High School,Other,8,Unknown,0,39,0.0
0.926,Male,Has relevant experience,No enrollment,Masters,STEM,10,Pvt Ltd,5,29,0.0
0.624,Unknown,Has relevant experience,Full time course,Masters,STEM,4,NGO,2,210,0.0
0.92,Other,No relevant experience,Part time course,High School,Other,6,Funded Startup,1,54,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,9,Pvt Ltd,3,44,0.0
0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,15,Unknown,5,47,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,NGO,5,74,0.0
0.624,Male,Has relevant experience,No enrollment,Masters,STEM,6,Pvt Ltd,1,8,1.0
0.624,Unknown,No relevant experience,Full time course,Graduate,STEM,7,Unknown,0,20,1.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,3,Pvt Ltd,1,162,0.0
0.893,Unknown,No relevant experience,No enrollment,Graduate,Business Degree,2,Pvt Ltd,1,110,0.0
0.762,Other,Has relevant experience,Part time course,High School,Other,3,Pvt Ltd,1,262,0.0
0.836,Male,Has relevant experience,No enrollment,Masters,STEM,14,Unknown,1,6,0.0
0.6659999999999999,Male,Has relevant experience,Part time course,Graduate,STEM,9,Pvt Ltd,1,19,1.0
0.6659999999999999,Other,No relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,5,23,1.0
0.624,Male,No relevant experience,No enrollment,Graduate,STEM,0,Unknown,1,107,1.0
0.897,Male,Has relevant experience,No enrollment,Masters,STEM,15,Unknown,5,134,0.0
0.926,Male,Has relevant experience,No enrollment,Masters,STEM,11,Early Stage Startup,1,40,0.0
0.884,Male,Has relevant experience,No enrollment,Graduate,STEM,12,Pvt Ltd,1,11,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,11,Unknown,3,102,0.0
0.624,Male,No relevant experience,Full time course,Graduate,STEM,2,Unknown,0,100,0.0
0.923,Male,No relevant experience,No enrollment,Masters,STEM,3,Pvt Ltd,0,30,0.0
0.92,Unknown,No relevant experience,No enrollment,High School,Other,5,Unknown,1,20,1.0
0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,14,Pvt Ltd,3,4,0.0
0.91,Unknown,No relevant experience,No enrollment,Primary School,Other,5,Unknown,0,15,0.0
0.624,Male,No relevant experience,No enrollment,Graduate,STEM,0,Unknown,1,14,1.0
0.923,Male,No relevant experience,No enrollment,Primary School,Other,1,Pvt Ltd,0,103,0.0
0.92,Male,Has relevant experience,Part time course,Graduate,STEM,5,Public Sector,2,40,0.0
0.91,Male,Has relevant experience,No enrollment,Phd,STEM,21,Pvt Ltd,2,27,0.0
0.926,Male,No relevant experience,No enrollment,High School,Other,10,Pvt Ltd,5,46,0.0
0.926,Male,Has relevant experience,No enrollment,High School,Other,7,Pvt Ltd,5,110,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,13,Funded Startup,1,96,0.0
0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,5,Pvt Ltd,2,57,0.0
0.92,Male,Has relevant experience,Full time course,Graduate,STEM,6,Unknown,1,240,0.0
0.949,Male,Has relevant experience,No enrollment,Graduate,STEM,4,Funded Startup,4,42,0.0
0.939,Male,Has relevant experience,No enrollment,Masters,STEM,7,Unknown,1,16,1.0
0.64,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,0,40,1.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,5,Funded Startup,2,94,0.0
0.794,Unknown,No relevant experience,No enrollment,Graduate,STEM,9,Pvt Ltd,1,160,0.0
0.878,Male,No relevant experience,Part time course,Graduate,STEM,10,Early Stage Startup,1,25,0.0
0.516,Male,Has relevant experience,No enrollment,Graduate,STEM,9,Early Stage Startup,1,11,0.0
0.878,Unknown,Has relevant experience,No enrollment,High School,Other,0,Pvt Ltd,1,29,0.0
0.698,Male,Has relevant experience,No enrollment,Graduate,STEM,8,Unknown,1,23,0.0
0.727,Male,Has relevant experience,No enrollment,Graduate,STEM,10,Pvt Ltd,2,113,0.0
0.754,Unknown,Has relevant experience,No enrollment,Graduate,STEM,15,Unknown,2,56,0.0
0.924,Male,No relevant experience,Full time course,Graduate,STEM,2,Unknown,1,39,1.0
0.92,Unknown,No relevant experience,No enrollment,Graduate,STEM,2,Pvt Ltd,1,20,0.0
0.92,Male,Has relevant experience,Full time course,Graduate,STEM,21,Pvt Ltd,1,40,0.0
0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,Pvt Ltd,5,56,0.0
0.555,Unknown,No relevant experience,Full time course,Graduate,STEM,4,Unknown,1,106,0.0
